month,scenario,parameter,estimate,std_error,lp__,lower_95,upper_95
may,No Priors,beta,-6.4064855,,-1634.2225,,
may,No Priors,delta,8.8682284,,-1634.2225,,
may,No Priors,gamma,3.7809107e-44,,-1634.2225,,
may,No Priors,alpha,0.91483827,,-1634.2225,,
may,No Priors,eta1,0.00017141067,,-1634.2225,,
may,No Priors,eta2,0.00025778401,,-1634.2225,,
may,Vague Priors,beta,-6.4067155,,-1687.7052,,
may,Vague Priors,delta,8.8861946,,-1687.7052,,
may,Vague Priors,gamma,0.36780788,,-1687.7052,,
may,Vague Priors,alpha,0.9993853,,-1687.7052,,
may,Vague Priors,eta1,0.0054164429,,-1687.7052,,
may,Vague Priors,eta2,1.0896402e-10,,-1687.7052,,
may,Strong Priors,beta,-6.4171278,,-1747.5745,,
may,Strong Priors,delta,9.1011822,,-1747.5745,,
may,Strong Priors,gamma,0.77928834,,-1747.5745,,
may,Strong Priors,alpha,0.99955571,,-1747.5745,,
may,Strong Priors,eta1,3.8950604e-14,,-1747.5745,,
may,Strong Priors,eta2,9.1776682e-08,,-1747.5745,,
jun,No Priors,beta,-5.5246563,,-9590.0457,,
jun,No Priors,delta,8.7421008,,-9590.0457,,
jun,No Priors,gamma,9.4751863e-45,,-9590.0457,,
jun,No Priors,alpha,3.4610809e-06,,-9590.0457,,
jun,No Priors,eta1,0.38938847,,-9590.0457,,
jun,No Priors,eta2,0.0020957955,,-9590.0457,,
jun,Vague Priors,beta,-5.2790751,0.9516725821115758,-9643.3416,-7.1443533609386884,-3.4137968390613116
jun,Vague Priors,delta,9.0765028,1.7001709153231108,-9643.3416,5.744167805966702,12.408837794033298
jun,Vague Priors,gamma,0.38862725,0.8643167260889114,-9643.3416,-1.3054335331342664,2.0826880331342665
jun,Vague Priors,alpha,0.99182029,0.5729992323795147,-9643.3416,-0.1312582054638486,2.114898785463849
jun,Vague Priors,eta1,0.42027523,0.1756543897889184,-9643.3416,0.07599262601371992,0.7645578339862801
jun,Vague Priors,eta2,0.029604538,3.680452933194779,-9643.3416,-7.1840832110617665,7.243292287061767
jun,Strong Priors,beta,-4.4687042,0.9004473368174413,-9701.9375,-6.233580980162185,-2.7038274198378156
jun,Strong Priors,delta,11.075959,1.387861889026606,-9701.9375,8.355749697507852,13.796168302492147
jun,Strong Priors,gamma,0.80496993,0.49714595377974125,-9701.9375,-0.16943613940829283,1.7793759994082927
jun,Strong Priors,alpha,0.99734816,0.20705697861435898,-9701.9375,0.5915164819158565,1.4031798380841436
jun,Strong Priors,eta1,0.57480878,0.11491784055551808,-9701.9375,0.3495698125111846,0.8000477474888155
jun,Strong Priors,eta2,0.00079054975,1.1554858184920281e+56,-9701.9375,-2.264752204244375e+56,2.264752204244375e+56
jul,No Priors,beta,-5.3164482,0.8393138559059345,-9608.9497,-6.961503357575632,-3.671393042424368
jul,No Priors,delta,0.40889796,0.020664992437820103,-9608.9497,0.3683945748218726,0.4494013451781274
jul,No Priors,gamma,937.33621,138.47062619697215,-9608.9497,665.9337826539347,1208.7386373460654
jul,No Priors,alpha,0.7450086,0.09132767219550528,-9608.9497,0.5660063624968097,0.9240108375031904
jul,No Priors,eta1,0.085305369,0.02127344048741544,-9608.9497,0.043609425644665745,0.12700131235533427
jul,No Priors,eta2,0.40627253,0.05831453670135246,-9608.9497,0.2919760380653492,0.5205690219346508
jul,Vague Priors,beta,-5.1515,0.8097075982165165,-9647.3464,-6.738526892504373,-3.564473107495628
jul,Vague Priors,delta,0.41354611,0.02033116315861471,-9647.3464,0.3736970302091152,0.45339518979088483
jul,Vague Priors,gamma,650.31316,102.34777964704811,-9647.3464,449.71151189178573,850.9148081082144
jul,Vague Priors,alpha,0.74298114,0.09614618376864836,-9647.3464,0.5545346198134493,0.9314276601865508
jul,Vague Priors,eta1,0.084947281,0.019449910416163896,-9647.3464,0.04682545658431876,0.12306910541568124
jul,Vague Priors,eta2,0.25798893,0.05620852273929178,-9647.3464,0.1478202254309881,0.3681576345690119
jul,Strong Priors,beta,-4.5069297,0.021155250037835523,-9853.7932,-4.548393990074158,-4.465465409925842
jul,Strong Priors,delta,0.36657684,0.0049768104618252585,-9853.7932,0.35682229149482253,0.3763313885051775
jul,Strong Priors,gamma,289.07536,41.180780227986624,-9853.7932,208.36103075314622,369.78968924685375
jul,Strong Priors,alpha,0.74665087,0.014380080668690032,-9853.7932,0.7184659118893675,0.7748358281106325
jul,Strong Priors,eta1,5.6183028e-10,0.0,-9853.7932,5.6183028e-10,5.6183028e-10
jul,Strong Priors,eta2,0.0033484883,15487.99765505112,-9853.7932,-30356.472055411898,30356.478752388495
